mass, logp, h_d, h_a, rot_b, tpsa, target
602.68, 7.33, 2, 6, 11, 105.59, antiinfective
686.88, 5.24, 3, 10, 6, 140.98, antiinfective
416.47, 3.6, 1, 7, 4, 75.61, antineoplastic
390.52, 3.32, 1, 5, 3, 80.67, cns
222.25, -0.86, 2, 6, 2, 115.04, cns
400.98, 4.24, 1, 4, 5, 26.71, cns
280.36, 1.96, 2, 4, 0, 66.76, antiinfective
142.2, 2.21, 1, 1, 4, 37.3, cns
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
551.07, 13.59, 0, 0, 34, 0.0, antiinfective
543.02, 2.23, 2, 9, 6, 153.24, antineoplastic
316.35, 3.6, 1, 5, 6, 57.15, antineoplastic
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
855.13, 9.33, 2, 6, 16, 89.62, cns
395.54, 4.55, 0, 6, 15, 57.23, cardio
369.42, 0.95, 4, 6, 10, 114.61, cardio
312.8, 1.69, 2, 4, 1, 39.66, cns
358.36, -0.24, 5, 10, 4, 151.57, cardio
309.45, 4.29, 0, 2, 7, 20.31, cns
452.51, -3.09, 0, 10, 7, 106.18, antineoplastic
380.36, 0.61, 2, 6, 2, 84.2, antineoplastic
357.41, -1.46, 5, 5, 11, 172.43, antiinfective
233.31, 2.09, 1, 3, 3, 38.33, cns
537.62, 5.61, 2, 7, 6, 94.72, antiinfective
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
359.35, 0.76, 3, 8, 6, 122.91, antineoplastic
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
567.69, 4.79, 0, 7, 15, 113.04, cardio
813.98, 3.62, 0, 16, 9, 184.19, antiinfective
822.99, 2.79, 5, 15, 8, 209.13, cardio
411.54, 3.16, 2, 5, 4, 62.16, cns
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
1040.24, -4.03, 12, 15, 19, 405.32, cardio
941.09, 6.07, 5, 16, 5, 226.22, antiinfective
213.33, 0.46, 3, 2, 7, 88.79, antiinfective
405.44, 2.36, 3, 5, 6, 70.95, cardio
349.31, 0.37, 1, 6, 3, 100.98, antiinfective
361.53, 4.84, 1, 2, 0, 23.47, cns
309.43, 1.53, 2, 4, 10, 65.99, cns
603.74, -0.8, 6, 8, 16, 191.16, cns
231.26, 1.42, 2, 4, 4, 67.16, cns
329.47, 4.39, 0, 1, 3, 6.25, antiinfective
194.15, -2.08, 1, 7, 1, 108.17, antineoplastic
427.55, 2.31, 2, 6, 9, 74.27, cardio
231.09, 1.6, 2, 2, 2, 76.76, cardio
273.24, 2.55, 2, 5, 3, 100.67, cns
371.52, 6.0, 0, 2, 8, 12.47, antineoplastic
324.29, 0.67, 0, 8, 5, 110.65, antiinfective
324.81, 3.93, 0, 2, 3, 32.67, cns
103.12, 1.48, 0, 3, 4, 38.66, cardio
318.5, 4.6, 1, 2, 1, 37.3, cns
284.35, 2.19, 1, 5, 0, 57.15, antiinfective
254.35, 1.52, 2, 3, 5, 58.2, cns
216.32, 1.03, 1, 4, 0, 33.73, antiinfective
202.17, 1.23, 3, 5, 1, 108.27, antineoplastic
1110.09, 5.57, 9, 20, 14, 354.89, antineoplastic
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
787.81, 1.14, 5, 17, 7, 229.44, antineoplastic
1163.16, -16.32, 24, 30, 18, 672.86, antiinfective
84.07, 0.1, 0, 2, 0, 26.3, cns
1087.25, 0.59, 4, 18, 6, 301.8, antiinfective
144.18, 1.94, 0, 2, 0, 25.78, antiinfective
954.66, -0.0, 13, 26, 4, 447.09, antineoplastic
176.17, 0.6, 1, 3, 1, 64.68, cns
337.46, 4.5, 2, 2, 8, 49.33, cns
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
492.53, 4.28, 1, 8, 10, 117.0, cardio
341.32, 3.26, 3, 6, 3, 109.0, antineoplastic
525.6, 2.66, 2, 8, 1, 139.04, antiinfective
539.58, -6.95, 11, 16, 6, 283.64, antiinfective
690.86, 2.27, 2, 11, 7, 176.42, antiinfective
602.59, -0.93, 3, 13, 2, 190.95, cns
272.39, 3.52, 0, 3, 7, 25.36, cns
749.0, 1.9, 5, 14, 7, 180.08, antiinfective
875.11, 5.6, 3, 14, 8, 170.06, antiinfective
523.74, 6.49, 0, 6, 27, 77.05, antineoplastic
475.63, 5.24, 1, 4, 6, 35.58, cardio
408.34, 5.44, 0, 3, 2, 35.53, antiinfective
875.11, 5.6, 3, 14, 8, 170.06, antiinfective
361.45, -1.07, 4, 6, 8, 132.12, antineoplastic
238.16, 0.07, 1, 6, 3, 118.05, antiinfective
1203.5, -5.24, 18, 18, 29, 490.66, antiinfective
343.38, 2.4, 4, 6, 3, 131.69, antiinfective
259.26, 0.03, 2, 4, 1, 92.5, antineoplastic
408.47, 4.4, 0, 5, 6, 50.03, antineoplastic
819.0, 4.19, 3, 14, 6, 170.06, antiinfective
416.38, 0.39, 6, 9, 3, 160.82, cardio
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
488.33, -2.23, 4, 13, 10, 215.72, cns
256.3, 3.3, 1, 3, 1, 54.37, antiinfective
677.73, 7.3, 2, 10, 10, 140.47, cardio
423.47, 0.48, 2, 8, 7, 125.9, antiinfective
644.67, -2.45, 3, 14, 9, 223.09, antiinfective
639.83, 4.07, 0, 6, 11, 95.07, antiinfective
256.1, -1.86, 5, 7, 4, 153.75, antineoplastic
372.81, 3.14, 3, 6, 6, 91.68, cns
396.44, 2.09, 3, 4, 8, 106.94, cardio
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
454.5, 2.01, 2, 6, 6, 113.01, antiinfective
810.98, 3.16, 7, 12, 16, 215.55, antiinfective
291.39, 3.35, 0, 2, 3, 20.31, cns
769.97, 6.07, 3, 12, 4, 154.73, antiinfective
380.4, 3.36, 2, 5, 3, 84.02, antineoplastic
941.09, 6.07, 5, 16, 5, 226.22, antiinfective
866.1, 4.98, 6, 14, 11, 225.92, antiinfective
361.39, 4.42, 0, 1, 2, 9.23, antiinfective
455.41, 7.3, 0, 4, 8, 27.05, antiinfective
281.12, -0.19, 0, 0, 2, 0.0, antiinfective
267.25, -1.91, 5, 8, 2, 150.4, antineoplastic
307.39, 2.77, 0, 5, 8, 48.0, cardio
261.3, 0.31, 0, 3, 3, 72.8, cns
594.69, 6.89, 4, 7, 6, 130.66, antiinfective
866.1, 4.98, 6, 14, 11, 225.92, antiinfective
318.35, 2.01, 3, 4, 5, 95.5, antineoplastic
352.74, 4.09, 0, 2, 2, 32.67, cns
453.54, 4.27, 2, 5, 9, 81.51, cardio
279.26, -1.68, 4, 9, 2, 139.54, antiinfective
335.4, 1.19, 1, 6, 0, 76.07, antineoplastic
793.95, 1.61, 5, 15, 8, 218.82, cardio
363.42, -0.25, 1, 6, 5, 98.77, antiinfective
208.69, 2.34, 1, 2, 1, 24.92, cns
141.17, 0.45, 1, 2, 1, 46.17, cns
463.56, 1.32, 2, 8, 6, 128.03, antiinfective
244.21, -3.17, 4, 9, 2, 143.72, antineoplastic
204.25, 0.1, 1, 3, 5, 63.6, cns
230.68, 1.87, 1, 3, 0, 58.53, cardio
393.46, 3.28, 0, 5, 5, 54.68, cns
847.02, 4.62, 5, 14, 4, 205.55, antiinfective
899.02, -2.04, 12, 12, 25, 379.74, cardio
176.22, 1.46, 1, 3, 1, 47.61, cns
204.23, 1.13, 2, 2, 2, 58.2, cns
505.01, 4.02, 2, 5, 5, 78.87, cns
298.39, 2.2, 1, 5, 5, 50.28, cns
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
299.41, 3.36, 1, 3, 3, 40.54, cns
211.22, 0.44, 4, 4, 3, 103.78, cardio
434.45, 1.39, 2, 9, 5, 129.03, antineoplastic
513.68, 5.95, 1, 5, 8, 63.05, antiinfective
140.14, -0.39, 2, 3, 0, 58.03, cns
1368.37, 3.2, 8, 27, 22, 308.44, antineoplastic
136.2, 0.84, 1, 2, 3, 24.92, cardio
350.42, 3.17, 1, 4, 7, 62.13, cns
416.47, 3.6, 1, 7, 4, 75.61, antineoplastic
138.17, 0.36, 3, 3, 2, 58.28, cns
612.63, 3.63, 5, 11, 8, 200.01, antiinfective
495.66, 2.14, 6, 7, 14, 139.48, cardio
1473.61, -6.23, 21, 32, 37, 639.1, antineoplastic
645.32, 6.94, 0, 4, 11, 42.68, cardio
438.52, 2.57, 2, 5, 9, 95.94, cardio
1093.33, -3.31, 16, 18, 23, 412.03, antiinfective
1809.07, -11.06, 30, 26, 62, 831.4, cardio
288.48, 3.23, 0, 2, 4, 6.48, cardio
115.16, 0.45, 0, 3, 0, 22.0, antiinfective
582.97, 4.32, 1, 6, 7, 119.29, antineoplastic
161.16, 1.23, 2, 2, 0, 53.09, antineoplastic
520.58, -0.32, 7, 10, 9, 184.04, antiinfective
1497.82, -0.84, 17, 16, 43, 550.71, cns
428.9, 3.09, 2, 4, 2, 74.6, cardio
211.24, 1.97, 1, 3, 4, 44.48, antiinfective
528.6, 2.89, 4, 6, 11, 155.68, cns
427.42, 0.67, 6, 6, 9, 191.26, antineoplastic
1061.22, 0.85, 6, 18, 4, 298.02, antineoplastic
498.58, 2.08, 3, 7, 13, 123.19, cns
326.46, 4.44, 0, 4, 4, 23.55, cns
778.95, 4.75, 2, 11, 7, 133.87, antineoplastic
582.67, -1.67, 2, 15, 10, 203.06, antiinfective
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
1060.25, -1.33, 14, 16, 20, 368.19, antiinfective
515.6, 0.29, 3, 9, 7, 151.09, antiinfective
441.61, 2.68, 3, 6, 8, 121.96, cardio
148.28, 1.16, 0, 2, 2, 3.24, antiinfective
153.2, 1.72, 1, 1, 2, 26.02, cns
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
506.1, 5.41, 2, 4, 6, 120.72, antineoplastic
307.83, 2.92, 0, 2, 4, 26.79, cns
905.04, 4.28, 4, 17, 9, 240.11, antineoplastic
313.29, 3.11, 2, 4, 3, 84.08, antiinfective
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
228.21, -2.14, 3, 8, 2, 123.49, antineoplastic
187.29, 2.18, 0, 1, 4, 3.24, cns
886.02, 9.61, 0, 10, 12, 65.56, cns
339.37, -0.4, 1, 8, 3, 115.54, cns
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
383.47, -0.31, 3, 6, 5, 110.18, antiinfective
454.51, -0.96, 3, 11, 12, 134.53, cardio
989.21, 3.04, 6, 18, 16, 269.98, antiinfective
